x-axis,1,2,3
second,Volt,Volt,Volt
+1.52500E-03,+17.53266E-03,+1.60804021E+00,+3.74404518E+00
+1.55000E-03,+17.75879E-03,+1.60804021E+00,+3.73776378E+00
+1.57500E-03,+18.56281E-03,+1.60804021E+00,+3.74404518E+00
+1.60000E-03,+19.79397E-03,+1.60804021E+00,+3.74404518E+00
+1.62500E-03,+20.17085E-03,+1.60804021E+00,+3.74404518E+00
+1.65000E-03,+20.94975E-03,+1.80904524E+00,+3.74404518E+00
+1.67500E-03,+20.17085E-03,+1.49497489E+00,+3.74404518E+00
+1.70000E-03,+20.17085E-03,+1.71482413E+00,+3.74404518E+00
+1.72500E-03,+19.59296E-03,+1.60804021E+00,+3.74404518E+00
+1.75000E-03,+17.78392E-03,+1.60804021E+00,+3.74404518E+00
+1.77500E-03,+16.95477E-03,+1.76507539E+00,+3.74404518E+00
+1.80000E-03,+16.15075E-03,+1.80904524E+00,+3.63726126E+00
+1.82500E-03,+14.54271E-03,+1.80904524E+00,+3.74404518E+00
+1.85000E-03,+13.73869E-03,+1.60804021E+00,+3.74404518E+00
+1.87500E-03,+12.93467E-03,+1.80904524E+00,+3.74404518E+00
+1.90000E-03,+11.75377E-03,+1.71482413E+00,+3.74404518E+00
+1.92500E-03,+11.10050E-03,+1.80904524E+00,+3.74404518E+00
+1.95000E-03,+10.52261E-03,+1.61432162E+00,+3.74404518E+00
+1.97500E-03,+9.71859E-03,+1.80904524E+00,+3.74404518E+00
+2.00000E-03,+9.34171E-03,+1.80904524E+00,+3.74404518E+00
+2.02500E-03,+8.91457E-03,+1.75251258E+00,+3.74404518E+00
+2.05000E-03,+8.91457E-03,+1.80904524E+00,+3.74404518E+00
+2.07500E-03,+8.11055E-03,+1.65201006E+00,+3.74404518E+00
+2.10000E-03,+7.30653E-03,+1.80904524E+00,+3.74404518E+00
+2.12500E-03,+5.92462E-03,+1.80904524E+00,+3.74404518E+00
+2.15000E-03,+5.69849E-03,+1.80904524E+00,+3.74404518E+00
+2.17500E-03,+5.69849E-03,+1.96608042E+00,+3.74404518E+00
+2.20000E-03,+4.89447E-03,+1.80904524E+00,+3.74404518E+00
+2.22500E-03,+4.31658E-03,+1.80904524E+00,+3.74404518E+00
+2.25000E-03,+4.09045E-03,+1.80904524E+00,+3.74404518E+00
+2.27500E-03,+4.71859E-03,+1.80904524E+00,+3.74404518E+00
+2.30000E-03,+3.71357E-03,+1.80904524E+00,+3.74404518E+00
+2.32500E-03,+3.28643E-03,+1.80904524E+00,+3.74404518E+00
+2.35000E-03,+3.28643E-03,+2.00376886E+00,+3.74404518E+00
+2.37500E-03,+3.28643E-03,+2.01005027E+00,+3.74404518E+00
+2.40000E-03,+2.90955E-03,+1.90326635E+00,+3.74404518E+00
+2.42500E-03,+2.48241E-03,+1.95351760E+00,+3.74404518E+00
+2.45000E-03,+2.48241E-03,+1.81532665E+00,+3.54932156E+00
+2.47500E-03,+1.85427E-03,+1.80904524E+00,+3.74404518E+00
+2.50000E-03,+2.05528E-03,+1.80904524E+00,+3.74404518E+00
+2.52500E-03,+2.25628E-03,+2.01005027E+00,+3.74404518E+00
+2.55000E-03,+2.45729E-03,+2.01005027E+00,+3.74404518E+00
+2.57500E-03,+1.67839E-03,+1.96608042E+00,+3.74404518E+00
+2.60000E-03,+1.67839E-03,+1.91582916E+00,+3.74404518E+00
+2.62500E-03,+874.37E-06,+1.86557790E+00,+3.74404518E+00
+2.65000E-03,+1.65327E-03,+2.01005027E+00,+3.74404518E+00
+2.67500E-03,+1.05025E-03,+1.96608042E+00,+3.74404518E+00
+2.70000E-03,+874.37E-06,+1.80904524E+00,+3.74404518E+00
+2.72500E-03,+874.37E-06,+2.01005027E+00,+3.74404518E+00
+2.75000E-03,+874.37E-06,+2.00376886E+00,+3.74404518E+00
+2.77500E-03,+874.37E-06,+2.01005027E+00,+3.74404518E+00
+2.80000E-03,+874.37E-06,+2.01005027E+00,+3.74404518E+00
+2.82500E-03,+874.37E-06,+2.01005027E+00,+3.74404518E+00
